,bathroom,bedroom,city,facts,is_for_sale,latitude,list_price,longitude,property_type,size,sold_price,state,street_address,zipcode,zpid
0,2.0,4.0,Gilroy,"['Lot: 7,013 sqft', 'Single Family', 'Built in 1978', 'All time views: 3,654', 'Last sold: Jan 2017 for $675,000', 'Last sale price/sqft: $367', 'Ceiling Fan', 'Fireplace', 'Flooring: Carpet, Laminate, Tile', 'Parking: Garage - Attached, 471 sqft garage', 'View: City, Mountain']",False,37.005538,,-121.58932,Single Family,1839,675000.0,CA,7570 Santa Paula Dr,95020,19859494
0,3.0,3.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 2,700 sqft', 'Single Family', 'Built in 2015', 'All time views: 6,457', 'HOA Fee: $149/mo', 'Last sold: Jan 2017 for $620,000', 'Last sale price/sqft: $306', 'Double Pane/Storm Windows', 'Fenced Yard', 'Flooring: Laminate, Tile', 'Parking: Garage - Attached, On street', 'Waterfront']",False,37.0212,,-121.4596,Single Family,2028,620000.0,CA,127 Palomino Pl,95020,2097035506
0,3.0,4.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 6,011 sqft', 'Single Family', 'Built in 1978', 'All time views: 3,223', 'Last sold: Jan 2017 for $600,000', 'Last sale price/sqft: $378', 'Fireplace', 'Pool']",False,36.996616,,-121.57158,Single Family,1588,600000.0,CA,6870 Glenview Dr,95020,19858023
0,2.0,3.0,Gilroy,[],False,37.022164,,-121.58791,Single Family,1714,555000.0,CA,771 Maria Way,95020,19854908
0,2.0,4.0,Gilroy,[],False,37.030977,,-121.610243,Single Family,1927,685000.0,CA,1528 Jackdow Ct,95020,19854088
0,2.0,3.0,Gilroy,[],False,37.004725,,-121.570195,Single Family,1600,575000.0,CA,7308 Church St,95020,19856680
0,3.0,4.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 0.32 acres', 'Single Family', 'Built in 1990', 'All time views: 4,244', 'Last sold: Jan 2017 for $1,015,000', 'Last sale price/sqft: $319', '300 sqft basement', 'Attic', 'Barbecue', 'Cable Ready', 'Ceiling Fan', 'Deck', 'Disability Access', 'Double Pane/Storm Windows', 'Fenced Yard', 'Fireplace', 'Flooring: Carpet, Hardwood, Tile', 'Garden', 'Hot Tub/Spa', 'Intercom', 'Jetted Tub', 'Lawn', 'Parking: Garage - Attached, 8 spaces, 896 sqft garage', 'Partial basement', 'Patio', 'Pond', 'RV Parking', 'Security System', 'Skylight', 'Sprinkler System', 'Storage', 'Vaulted Ceiling', 'View: City, Mountain', 'Wired']",False,37.017986,,-121.602688,Single Family,3182,1015000.0,CA,1445 Welburn Ave,95020,19852437
0,1.0,2.0,Gilroy,"['Condo', 'Built in 1979', 'All time views: 3,905', 'HOA Fee: $225/mo', 'Cooling: Central', 'Heating: Forced air', 'Laundry: In Unit', 'Parking: Carport, Off street', 'Last sold: Jan 2017 for $309,000', 'Last sale price/sqft: $374', 'Flooring: Tile']",False,37.014669,,-121.594135,Condo,826,309000.0,CA,8155 Westwood Dr APT 1,95020,19855833
0,1.0,3.0,Gilroy,"['Lot: 6,141 sqft', 'Single Family', 'Built in 1908', 'All time views: 1,551', 'Last sold: Jan 2017 for $460,000', 'Last sale price/sqft: $456']",False,37.008181,,-121.573024,Single Family,1008,460000.0,CA,7550 Rosanna St,95020,19856619
0,3.0,5.0,Gilroy,"['Lot: 7,840 sqft', 'Single Family', 'Built in 1994', 'All time views: 5,017', 'Cooling: Central', 'Last sold: Jan 2017 for $726,000', 'Last sale price/sqft: $298', 'Fireplace', 'Flooring: Carpet, Laminate, Tile', 'Garden', 'Parking: Garage - Attached, 450 sqft garage', 'Pool']",False,37.018176,,-121.592315,Single Family,2435,726000.0,CA,920 Hoesch Way,95020,19855799
0,3.0,4.0,Gilroy,"['Lot: 7,974 sqft', 'Single Family', 'Built in 2006', 'All time views: 2,255', 'Cooling: Central', 'Heating: Baseboard, Forced air', 'Last sold: Jan 2017 for $765,000', 'Last sale price/sqft: $247', 'Cable Ready', 'Double Pane/Storm Windows', 'Fireplace', 'Flooring: Carpet', 'Jetted Tub', 'Parking: Garage - Attached, 723 sqft garage', 'Sprinkler System', 'View: City, Mountain', 'Wired']",False,36.993993,,-121.564092,Single Family,3095,765000.0,CA,50 Ervin Ct,95020,69304062
0,4.0,5.0,Gilroy,"['Baths: 3 full, 1 half', 'Lot: 5,880 sqft', 'Single Family', 'Built in 2006', 'All time views: 3,386', 'HOA Fee: $150/mo', 'Last sold: Jan 2017 for $975,000', 'Last sale price/sqft: $273']",False,36.997269,,-121.602219,Single Family,3574,975000.0,CA,7110 Eagle Ridge Dr,95020,79484442
0,2.0,3.0,Gilroy,"['Lot: 7,654 sqft', 'Single Family', 'Built in 1976', 'All time views: 229', 'Last sold: Jan 2017 for $450,000', 'Last sale price/sqft: $309', 'Fireplace', 'Parking: 480 sqft garage']",False,37.009902,,-121.596517,Single Family,1457,450000.0,CA,7790 Laurel Dr,95020,19858623
0,3.0,4.0,Gilroy,[],False,,,,,2417,712000.0,CA,2542 Narin Way,95020,61323960
0,3.0,4.0,Gilroy,"['Lot: 7,405 sqft', 'Single Family', 'Built in 2008', 'All time views: 3,343', 'HOA Fee: $26/mo', 'Last sold: Jan 2017 for $725,000', 'Last sale price/sqft: $325', 'Flooring: Carpet, Hardwood']",False,37.011731,,-121.582039,Single Family,2232,725000.0,CA,810 Sydney Ct,95020,69304074
0,4.0,5.0,Gilroy,"['Baths: 3 full, 1 half', 'Lot: 6,882 sqft', 'Single Family', 'Built in 1966', 'All time views: 2,825', 'Last sold: Jan 2017 for $635,000', 'Last sale price/sqft: $290']",False,37.019802,,-121.589712,Single Family,2190,635000.0,CA,8479 Gary St,95020,19854946
0,2.0,4.0,Gilroy,"['Lot: 6,800 sqft', 'Single Family', 'Built in 1975', 'All time views: 833', 'Last sold: Jan 2017 for $350,000', 'Last sale price/sqft: $259', 'Fireplace', 'Parking: 468 sqft garage', 'Pool']",False,37.01821,,-121.597854,Single Family,1350,350000.0,CA,1280 Chesbro Way,95020,19854502
0,2.0,3.0,Gilroy,"['Lot: 7,858 sqft', 'Single Family', 'Built in 1978', 'All time views: 287', 'Last sold: Jan 2017 for $604,000', 'Last sale price/sqft: $424', 'Fireplace', 'Parking: 493 sqft garage']",False,37.0051,,-121.583765,Single Family,1424,604000.0,CA,7520 Santa Theresa Dr,95020,19859419
0,3.0,4.0,Gilroy,"['Lot: 8,058 sqft', 'Single Family', 'Built in 1993', 'All time views: 5,159', 'Last sold: Jan 2017 for $665,000', 'Last sale price/sqft: $352']",False,37.030133,,-121.605801,Single Family,1891,665000.0,CA,1292 Hogan Way,95020,19853193
0,1.0,2.0,Gilroy,"['Lot: 4,399 sqft', 'Single Family', 'Built in 1900', 'All time views: 9,122', 'Cooling: None', 'Heating: Forced air', 'Last sold: Jan 2017 for $325,000', 'Last sale price/sqft: $535']",False,37.005294,,-121.564881,Single Family,608,325000.0,CA,7260 Alexander St,95020,19863997
0,2.0,3.0,Gilroy,"['Lot: 8,363 sqft', 'Single Family', 'Built in 1984', 'All time views: 2,320', 'Last sold: Jan 2017 for $670,000', 'Last sale price/sqft: $354', 'Vaulted Ceiling']",False,37.019578,,-121.593202,Single Family,1890,670000.0,CA,927 Howard Ave,95020,19855758
0,1.0,1.0,Gilroy,"['Lot: 20.69 acres', 'Single Family', 'Built in 1950', 'All time views: 1,194', 'Last sold: Jan 2017 for $1,950,000', 'Last sale price/sqft: $3,545']",False,37.051544,,-121.530197,Single Family,550,1950000.0,CA,3245 Roop Rd,95020,2097874545
0,2.0,2.0,Gilroy,"['Lot: 3,223 sqft', 'Single Family', 'Built in 1983', 'All time views: 3,095', 'Cooling: None', 'Last sold: Jan 2017 for $400,000', 'Last sale price/sqft: $358', 'Parking: Garage - Attached']",False,37.009757,,-121.562643,Single Family,1116,400000.0,CA,449 Hadley Ct,95020,19864145
0,3.0,4.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 8,450 sqft', 'Single Family', 'Built in 1980', 'All time views: 2,148', 'Last sold: Jan 2017 for $670,000', 'Last sale price/sqft: $238', 'Fireplace', 'Parking: Garage - Attached', 'Pool']",False,36.998985,,-121.583337,Single Family,2814,670000.0,CA,7225 Yorktown Dr,95020,19858046
0,1.0,2.0,Gilroy,"['Lot: 7,840 sqft', 'Multi Family', 'Built in 1978', 'All time views: 3,541', 'Last sold: Jan 2017 for $713,000', 'Last sale price/sqft: $419']",False,37.014169,,-121.577865,Multi Family,1700,713000.0,CA,7967 Hanna St,95020,19855433
0,3.0,4.0,Gilroy,"['Lot: 2.02 acres', 'Single Family', 'Built in 1999', 'All time views: 3,639', 'HOA Fee: $400/mo', 'Last sold: Jan 2017 for $1,640,000', 'Last sale price/sqft: $383']",False,37.053154,,-121.604383,Single Family,4283,1640000.0,CA,10739 Green Valley Dr,95020,19852630
0,2.5,4.0,Gilroy,[],False,36.99233,,-121.565086,Single Family,2948,542000.0,CA,6439 Barron Pl,95020,19858312
0,3.0,6.0,Gilroy,[],False,36.989371,,-121.575573,Single Family,3247,665000.0,CA,6350 Snowberry Ct,95020,19859951
