SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,12450 Lorenzo Ave,BOULDER CREEK,CA,95006,639000,2,2.0,BOULDER CREEK,1091,29272,1942,5,586,,Active,,,http://www.redfin.com/CA/Boulder-Creek/12450-Lorenzo-Ave-95006/home/2383051,MLSListings,ML81639377,N,Y,37.115249,-122.118257
MLS Listing,,Vacant Land,0 Bear Creek Rd,BOULDER CREEK,CA,95006,339000,,,BOULDER CREEK,,452588,,29,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/Bear-Creek-Rd-95006/home/23468773,MLSListings,ML81636591,N,Y,37.1492054,-122.0868479
MLS Listing,,Single Family Residential,24 Everest Dr,BOULDER CREEK,CA,95006,929000,4,3.5,BOULDER CREEK,2914,99230,1981,1,319,,Active,,,http://www.redfin.com/CA/Boulder-Creek/24-Everest-Dr-95006/home/2391256,MLSListings,ML81639591,N,Y,37.159049,-122.166476
MLS Listing,,Vacant Land,16950 Kings Creek Rd,BOULDER CREEK,CA,95006,3850000,,,BOULDER CREEK,,10759320,,644,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/16950-Kings-Creek-Rd-95006/home/21994081,MLSListings,ML81466156,N,Y,37.1689565,-122.1206281
MLS Listing,,Single Family Residential,17660 Kings Creek Rd,BOULDER CREEK,CA,95006,3850000,4,2.0,BOULDER CREEK,1700,10759320,1960,645,2265,,Active,,,http://www.redfin.com/CA/Boulder-Creek/17660-Kings-Creek-Rd-95006/home/80168027,MLSListings,ML81465973,N,Y,37.173893,-122.117767
MLS Listing,,Vacant Land,0 Two Bar Rd,Boulder Creek,CA,95006,1400000,,,Boulder Creek,,3851357,,925,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/Two-Bar-Rd-95006/home/17494447,MLSListings,ML81429285,N,Y,37.1620458,-122.1129471
MLS Listing,,Vacant Land,0 Brimblecom Rd,BOULDER CREEK,CA,95006,264700,,,BOULDER CREEK,,99752,,215,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/0-Brimblecom-Rd-95006/home/40476898,MLSListings,ML81596582,N,Y,37.1426983,-122.1338675
MLS Listing,,Vacant Land,0 Woodland,BOULDER CREEK,CA,95006,15000,,,BOULDER CREEK,,7841,,450,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/Woodland-Way-95006/home/21838216,MLSListings,ML81533818,N,Y,37.1589158,-122.1409681
MLS Listing,,Other,,BOULDER CREEK,CA,95006,99000,,,BOULDER CREEK,,156293,,554,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/Undisclosed-address-95006/home/17494858,MLSListings,ML81500533,N,Y,37.1568793,-122.0885911
MLS Listing,,Single Family Residential,195 Brook Ln,BOULDER CREEK,CA,95006,769000,3,2.0,BOULDER CREEK,1667,17293,1963,85,461,,Active,,,http://www.redfin.com/CA/Boulder-Creek/195-Brook-Ln-95006/home/2385008,MLSListings,ML81632813,N,Y,37.137107,-122.142672
MLS Listing,,Single Family Residential,,BOULDER CREEK,CA,95006,689000,5,2.0,BOULDER CREEK,2200,11935,1941,100,313,,Active,,,http://www.redfin.com/CA/Boulder-Creek/Undisclosed-address-95006/home/2383496,MLSListings,ML81631864,N,Y,37.136508,-122.138946
MLS Listing,,Vacant Land,12070 Highway 9 Hwy,BOULDER CREEK,CA,95006,399959,,,BOULDER CREEK,,21780,,39,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/12070-Highway-9-95006/home/2377697,MLSListings,ML81635666,N,Y,37.113014,-122.115061
